"id","transaction_id","user_id","ammount","transaction_time","merchant_id","hash","product_id","is_anomaly","anomaly_reason"
1,"txn_123456","user_7890","100.50","2025-05-08 15:19:01","merchant_456","8a3b05b435ccc6154e85cc1a3fa9a7761851f0443e741221d67d198f2ac48419",NULL,False,NULL
3,"Mukunda_123456","user_7890","100.50","2025-05-08 15:49:35","merchant_456","f76bc22c8027196ce271400b92b625c1f23b0b034d8a347656d11505ca2fe799","product_123",False,NULL
9,"Mukunda_123959","user_78960","150.50","2025-05-15 15:15:01","merchant_46j56","a25bca277046c83cc784e92ceb65887fa3f964a4c33a54196201552149f62918","product_1rl23",False,NULL
32,"Mukund_123959","user_78960","150.50","2025-05-15 15:20:12","merchant_4656","af56cbfece4aee1c51b4e0c8de97ec85b9ff68068a5b02689fd8ccb54f7a9ead","product_1rl23",False,NULL
33,"ds","dc","34.00","2025-05-15 15:22:45","cc","13b7d688eeb62f687b8d102b316f538525cff26cfade6d35d5a8b93b61e7a8d9","aa",False,NULL
6,"Mukunda_123459","user_78960","150.50","2025-05-15 14:39:29","merchant_4656","cb3081936c148f93c39d376cf4c86986abb57149572679402e46ed4aec92fdfc","product_1r23",True,"Cluster-based anomaly (Amount: 150.5, Hour: 14)"
34,"txn_56874","Hanuth313","150001.00","2025-05-23 10:59:00","OIMIV","cf40253c6c5708455e7a38835c26d2c50339c4639556f3cb45edb0e86e33fada","tourk_234",True,"Cluster-based anomaly (Amount: 150001.0, Hour: 10)"
36,"demo_1","odmf","120.00","2025-06-03 09:46:32","omfd","6cbf829216228702cb7fe839c7249b3b39a4ed67a9da889852e7ebe004f9c04e","kkrx",False,NULL
37,"demo_2","odmu","126.00","2025-06-03 09:46:48","omfj","24a16e31f2fef2f0797fd972d2ccbe18930d89cc9a61a709e5057cc9d0b5afae","kkro",False,NULL
38,"demo_3","odmt","124.00","2025-06-03 09:47:12","omfy","769bb3852112708814d2cb45462e138e4576eef25de053b76781eb26cfa5351b","kkrp",False,NULL
39,"demo_4","uyk","210.00","2025-06-03 09:48:29","migr","921bdd1a0f6149596467bc22d2a11dcb212601e36ec9d4da904916090d1161f0","uuty",False,NULL
